ID,Difficulty,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Status
99f2588e-a917-4fab-9fe3-2f4d9dc9f31b,Medium,A child weighing 20 kg requires an IV dopamine infusion at a dose of 8 micrograms/kg/min for inotropic support. The dopamine is prepared as 400 mg in 250 mL of glucose 5%. Calculate the infusion rate in mL/hour.,3 mL/hour,6 mL/hour,12 mL/hour,24 mL/hour,48 mL/hour,B,"Step 1: Calculate dose required per minute
• Dose = Weight × Dose rate
• 20 kg × 8 mcg/kg/min = 160 mcg/min

Step 2: Convert to mg per hour
• 160 mcg/min × 60 min = 9600 mcg/hour
• 9600 mcg = 9.6 mg/hour

Step 3: Calculate concentration of infusion
• Concentration = Amount ÷ Volume
• 400 mg ÷ 250 mL = 1.6 mg/mL

Step 4: Calculate infusion rate
• Rate = Dose per hour ÷ Concentration
• 9.6 mg/hour ÷ 1.6 mg/mL = 6 mL/hour

Answer: 6 mL/hour

Why other answers are wrong:
• 3 mL/hour - Would deliver 4.8 mg/hr (4 mcg/kg/min)
• 12 mL/hour - Double the required rate
• 24 mL/hour - Would deliver 38.4 mg/hr (dangerously high)
• 48 mL/hour - Would deliver 76.8 mg/hr (extremely dangerous)

Clinical context for dopamine:
• Dose ranges:
  - Low dose (1-5 mcg/kg/min): Renal/mesenteric vasodilation (""renal dose"")
  - Medium dose (5-10 mcg/kg/min): Positive inotrope (β1 effects)
  - High dose (>10 mcg/kg/min): Vasoconstriction (α1 effects)
• This dose (8 mcg/kg/min) targets inotropic support
• Central line preferred for infusions >5 mcg/kg/min
• Extravasation can cause tissue necrosis

IV infusion formula (memorise this):
Rate (mL/hr) = [Dose (mcg/kg/min) × Weight (kg) × 60] ÷ [Concentration (mg/mL) × 1000]

Exam tip: Critical care infusion calculations require careful unit conversion. Always convert mcg to mg (÷1000) and per minute to per hour (×60).",approved
aabd1e54-8c59-4828-8076-c99ee66f2624,Medium,"A patient is taking capecitabine 1500 mg/m² twice daily. Their body surface area (BSA) is 1.8 m². Due to hand-foot syndrome, the oncologist recommends a 20% dose reduction. What is the new dose per administration?",2160 mg twice daily,2700 mg twice daily,1800 mg twice daily,1500 mg twice daily,1200 mg twice daily,A,"Step 1: Calculate the original dose using BSA
• Dose = 1500 mg/m² × 1.8 m² = 2700 mg per administration

Step 2: Apply the 20% dose reduction
• New dose = Original dose × (1 - 0.20)
• New dose = 2700 mg × 0.80 = 2160 mg twice daily

Alternative calculation:
• 20% of 2700 = 540 mg
• 2700 - 540 = 2160 mg twice daily

Why other answers are wrong:
• 2700 mg - This is the original dose before reduction
• 1800 mg - This would be the dose if BSA was 1.0 m² then reduced
• 1500 mg - This is just the mg/m² value, ignoring BSA
• 1200 mg - Calculated without applying BSA first (1500 × 0.80)

Clinical context for capecitabine:
• Oral prodrug of 5-fluorouracil used in colorectal and breast cancer
• BSA-based dosing is standard for cytotoxic agents
• Hand-foot syndrome (palmar-plantar erythrodysesthesia) is a common dose-limiting toxicity
• Standard dose reductions are typically 25% or 50% per toxicity grade
• Tablets come in 150 mg and 500 mg strengths
• Practical dose: 2160 mg = 4 × 500 mg + 1 × 150 mg (or round to 2000 mg)

Exam tip: For BSA-based calculations, always multiply by BSA first, then apply any adjustments. Common error is to reduce the mg/m² value before multiplying by BSA.",approved
14292bd4-7695-446d-a5c9-2a12f73fddf2,Easy,A patient is prescribed a reduction in their daily dose of methotrexate from 20 mg once weekly to a 10% lower dose due to side effects. What is the new weekly dose?,16 mg,18 mg,20 mg,22 mg,15 mg,B,"Calculation:
• New dose = Original dose × (1 - reduction fraction)
• New dose = 20 mg × (1 - 0.10)
• New dose = 20 mg × 0.90 = 18 mg weekly

Alternative method:
• 10% of 20 mg = 2 mg
• 20 mg - 2 mg = 18 mg weekly

Why other answers are wrong:
• 16 mg - This would be a 20% reduction (20 × 0.80)
• 20 mg - No change from original dose
• 22 mg - This would be a 10% increase, not reduction
• 15 mg - This would be a 25% reduction (20 × 0.75)

CRITICAL SAFETY POINTS FOR METHOTREXATE:
• Methotrexate is a HIGH-RISK medicine on the Never Events list
• Dosing is WEEKLY - never daily (fatal errors have occurred with daily dosing)
• Always confirm the day of the week for administration
• Folic acid 5 mg should be prescribed on non-methotrexate days (typically 6 days/week)
• Requires shared care monitoring: FBC, U&Es, LFTs before and during treatment
• Common reasons for dose reduction:
  - Mucositis/mouth ulcers
  - Raised LFTs (hepatotoxicity)
  - Low WCC or platelets (bone marrow suppression)
  - Nausea/GI side effects
  - Pulmonary symptoms (rare but serious pneumonitis)

Exam tip: Methotrexate questions often test awareness of weekly dosing. If you see ""daily"" methotrexate for RA/psoriasis, flag it as an error.",approved
d3070d9b-7291-4b2c-8825-e5acb4f62e16,Hard,"A 78 kg patient is receiving TPN containing 10% glucose (500 mL) and 10% amino acids (250 mL), infused over 12 hours. The maximum recommended glucose delivery is 5 g/kg/day. Calculate the glucose delivery rate in g/kg/day and determine if it is within limits.",0.64 g/kg/day,0.7 g/kg/day,0.43 g/kg/day,0.32 g/kg/day,2.56 g/kg/day,A,"Step 1: Calculate the total glucose content
• 10% glucose means 10 g per 100 mL
• Total glucose = (10 g/100 mL) × 500 mL = 50 g

Step 2: Calculate the glucose delivery rate per kg per day
• The TPN is infused over 12 hours, delivering 50 g of glucose in that period
• Rate = Total glucose ÷ Patient weight
• Rate = 50 g ÷ 78 kg = 0.64 g/kg/day

Step 3: Check against the maximum
• Maximum recommended: 5 g/kg/day
• Actual rate: 0.64 g/kg/day — this is well within limits

Answer: 0.64 g/kg/day (within limits)

Why other answers are wrong:
• 0.7 g/kg/day — Rounding or weight estimation error
• 0.43 g/kg/day — May have used combined TPN volume (750 mL) instead of just glucose volume
• 0.32 g/kg/day — Possibly halved the correct answer
• 2.56 g/kg/day — May have multiplied rather than divided, or used wrong glucose percentage

Key concept: Only the glucose-containing component contributes to glucose delivery. Amino acid solutions do not contain glucose.",approved
e9819739-e3c0-4000-aeed-47a9cd354626,Hard,"A 88 kg patient with an eGFR of 20 mL/min/1.73m² is prescribed fluconazole at 6 mg/kg once daily. The BNF recommends a maximum single dose of 400 mg and the following renal dose adjustments: eGFR 0-29 mL/min/1.73m²: reduce to 50% of normal dose. Fluconazole injection is available as 2 mg/mL in 100 mL vials. The dose is diluted to 250 mL and infused over 90 minutes. If the adjusted dose is diluted to 250 mL and infused over 90 minutes, what is the infusion rate in mL/hour?",333.4 mL/hour,166.7 mL/hour,41.67 mL/hour,250.1 mL/hour,500.1 mL/hour,B,"Step 1: Calculate the normal dose
• Normal dose = Weight × Dose per kg
• 88 kg × 6 mg/kg = 528 mg

Step 2: Check against the maximum single dose
• 528 mg exceeds the maximum of 400 mg
• Capped dose = 400 mg

Step 3: Apply renal dose adjustment
• eGFR is 20 mL/min/1.73m², which falls in the 0–29 range
• Adjustment: reduce to 50% of normal dose
• Adjusted dose = 400 mg × 0.50 = 200 mg

Step 4: Calculate the infusion rate
• The adjusted dose is diluted to 250 mL and infused over 90 minutes
• Convert time: 90 minutes = 1.5 hours
• Infusion rate = Volume ÷ Time = 250 mL ÷ 1.5 hours = 166.7 mL/hour

Answer: 166.7 mL/hour

Why other answers are wrong:
• 333.4 mL/hour — Would imply infusion over 45 minutes
• 41.67 mL/hour — Would imply infusion over 6 hours
• 250.1 mL/hour — Would imply infusion over 60 minutes
• 500.1 mL/hour — Would imply infusion over 30 minutes

Key concept: Apply the dose cap first, then the renal adjustment. The infusion rate is determined by the total diluted volume divided by the infusion time.",approved
f2929324-cbfc-4794-b888-1a444530c898,Hard,A 62 kg patient with an eGFR of 8 mL/min/1.73m² is prescribed amikacin at 15 mg/kg once daily. The BNF recommends a maximum single dose of 1500 mg and the following renal dose adjustments: eGFR 0-14 mL/min/1.73m²: reduce to 25% of normal dose. Amikacin injection is available as 50 mg/mL in 2 mL vials. What is the correct amikacin dose for this patient?,232.5 mg,465 mg,58.12 mg,77.42 mg,2325 mg,A,"Step 1: Calculate the normal dose
• Normal dose = Weight × Dose per kg
• 62 kg × 15 mg/kg = 930 mg

Step 2: Check against the maximum single dose
• 930 mg is below the maximum of 1500 mg, so no cap is needed

Step 3: Apply renal dose adjustment
• eGFR is 8 mL/min/1.73m², which falls in the 0–14 range
• Adjustment: reduce to 25% of normal dose
• Adjusted dose = 930 mg × 0.25 = 232.5 mg

Answer: 232.5 mg

Why other answers are wrong:
• 465 mg — This would be 50% of the normal dose (wrong adjustment factor)
• 58.12 mg — Calculation error (possibly 25% of a wrong base dose)
• 77.42 mg — Calculation error
• 2325 mg — This appears to be 250% rather than 25% (decimal error)

Key concept: For renal dose adjustments, always (1) calculate the normal dose, (2) apply the dose cap if needed, then (3) apply the renal adjustment percentage.",approved
d897dd5d-d43f-427f-b445-bae5bc03f417,Easy,A patient weighing 120 kg is prescribed enoxaparin for treatment of deep vein thrombosis at a dose of 1.5 mg/kg once daily. The local protocol caps the maximum dose at 150 mg. What dose should this patient receive?,120 mg,150 mg,180 mg,200 mg,225 mg,B,"Step 1: Calculate the weight-based dose
• Calculated dose = Weight × Dose per kg
• 120 kg × 1.5 mg/kg = 180 mg

Step 2: Apply the dose cap
• The calculated dose (180 mg) exceeds the local protocol cap of 150 mg
• Therefore, the patient receives the capped dose: 150 mg

Answer: 150 mg once daily

Why other answers are wrong:
• 120 mg — This would be 1 mg/kg, not 1.5 mg/kg
• 180 mg — This is the uncapped calculated dose, but it exceeds the protocol maximum
• 200 mg — Calculation error
• 225 mg — Would be 1.875 mg/kg

Clinical context: In obese patients, dose caps prevent excessive anticoagulation and bleeding risk. Anti-Xa monitoring may be recommended when doses are capped. Always compare the calculated dose to any stated maximum before prescribing.

Exam tip: Dose cap questions test whether you apply clinical limits after calculating. Always check the calculated dose against any stated maximum.",approved
7505d31c-ab7b-44e8-8367-e7ce71a388cc,Hard,A 67 kg patient with an eGFR of 40 mL/min/1.73m² is prescribed vancomycin at 15 mg/kg every 12 hours. The BNF recommends a maximum single dose of 2000 mg and the following renal dose adjustments: eGFR 30-60 mL/min/1.73m²: reduce to 75% of normal dose. Vancomycin injection is available as 50 mg/mL in 10 mL vials. What volume of vancomycin injection (50 mg/mL) should be drawn up?,5.02 mL,45.24 mL,60.32 mL,15.08 mL,1.51 mL,D,"Step 1: Calculate the normal dose
• Normal dose = Weight × Dose per kg
• 67 kg × 15 mg/kg = 1005 mg

Step 2: Check against the maximum single dose
• 1005 mg is below the maximum of 2000 mg, so no cap is needed

Step 3: Apply renal dose adjustment
• eGFR is 40 mL/min/1.73m², which falls in the 30–60 range
• Adjustment: reduce to 75% of normal dose
• Adjusted dose = 1005 mg × 0.75 = 753.75 mg

Step 4: Calculate the volume to draw up
• Stock concentration: 50 mg/mL
• Volume = Dose ÷ Concentration
• Volume = 753.75 mg ÷ 50 mg/mL = 15.075 mL ≈ 15.08 mL

Answer: 15.08 mL

Why other answers are wrong:
• 5.02 mL — Would only deliver approximately 251 mg
• 45.24 mL — Calculation error (possibly no renal adjustment applied and dose tripled)
• 60.32 mL — Significant calculation error
• 1.51 mL — Would only deliver approximately 75 mg

Key concept: Volume = Adjusted dose ÷ Stock concentration. Always apply the renal adjustment before calculating the volume.",approved
e6f5d308-8b1d-4fbc-91f8-6220c40718e1,Hard,"A 88 kg patient with an eGFR of 45 mL/min/1.73m² is prescribed vancomycin at 15 mg/kg every 12 hours. The BNF recommends a maximum single dose of 2000 mg and the following renal dose adjustments: eGFR 30-60 mL/min/1.73m²: reduce to 75% of normal dose. Vancomycin injection is available as 50 mg/mL in 10 mL vials. The dose is diluted to 500 mL and infused over 60 minutes. If the adjusted dose is diluted to 500 mL and infused over 60 minutes, what is the infusion rate in mL/hour?",750 mL/hour,1000 mL/hour,500 mL/hour,450 mL/hour,333.5 mL/hour,C,"Step 1: Calculate the normal dose
• Normal dose = Weight × Dose per kg
• 88 kg × 15 mg/kg = 1320 mg

Step 2: Check against the maximum single dose
• 1320 mg is below the maximum of 2000 mg, so no cap is needed

Step 3: Apply renal dose adjustment
• eGFR is 45 mL/min/1.73m², which falls in the 30–60 range
• Adjustment: reduce to 75% of normal dose
• Adjusted dose = 1320 mg × 0.75 = 990 mg

Step 4: Calculate the infusion rate
• The adjusted dose is diluted to 500 mL and infused over 60 minutes (1 hour)
• Infusion rate = Volume ÷ Time = 500 mL ÷ 1 hour = 500 mL/hour

Answer: 500 mL/hour

Why other answers are wrong:
• 750 mL/hour — Would imply infusion over 40 minutes
• 1000 mL/hour — Would imply infusion over 30 minutes
• 450 mL/hour — Calculation error
• 333.5 mL/hour — Would imply infusion over 90 minutes

Key concept: When the dose is diluted to a fixed volume, the infusion rate depends only on that total volume divided by the infusion time, regardless of the drug dose.",approved
d5b9e207-31d1-4dbb-9d74-8ca67c22608c,Hard,A 55 kg patient with an eGFR of 50 mL/min/1.73m² is prescribed gentamicin at 5 mg/kg once daily. The BNF recommends a maximum single dose of 500 mg and the following renal dose adjustments: eGFR 30-60 mL/min/1.73m²: reduce to 60% of normal dose. Gentamicin injection is available as 40 mg/mL in 2 mL vials. What volume of gentamicin injection (40 mg/mL) should be drawn up?,16.48 mL,12.36 mL,0.41 mL,2.75 mL,4.12 mL,E,"Step 1: Calculate the normal dose
• Normal dose = Weight × Dose per kg
• 55 kg × 5 mg/kg = 275 mg

Step 2: Check against the maximum single dose
• 275 mg is below the maximum of 500 mg, so no cap is needed

Step 3: Apply renal dose adjustment
• eGFR is 50 mL/min/1.73m², which falls in the 30–60 range
• Adjustment: reduce to 60% of normal dose
• Adjusted dose = 275 mg × 0.60 = 165 mg

Step 4: Calculate the volume to draw up
• Stock concentration: 40 mg/mL
• Volume = Dose ÷ Concentration
• Volume = 165 mg ÷ 40 mg/mL = 4.125 mL ≈ 4.12 mL

Answer: 4.12 mL

Why other answers are wrong:
• 16.48 mL — No renal adjustment applied (275 mg ÷ 40 = 6.875, not this value either)
• 12.36 mL — Calculation error
• 0.41 mL — Decimal place error (÷ 10)
• 2.75 mL — May have used 60 mg/mL concentration or miscalculated adjustment

Key concept: For renal dosing volume questions, calculate: normal dose → apply cap → apply renal adjustment → divide by stock concentration.",approved
