ID,Category,Difficulty,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Status
f2929324-cbfc-4794-b888-1a444530c898,Dosage Calculations,Hard,A 62 kg patient with an eGFR of 8 mL/min/1.73m² is prescribed amikacin at 15 mg/kg once daily. The BNF recommends a maximum single dose of 1500 mg and the following renal dose adjustments: eGFR 0-14 mL/min/1.73m²: reduce to 25% of normal dose. Amikacin injection is available as 50 mg/mL in 2 mL vials. What is the correct amikacin dose for this patient?,232.5 mg,465 mg,58.12 mg,77.42 mg,2325 mg,A,"Step 1: Calculate total daily dose
• Total daily dose = Dose per kg × Weight
• 2 mg/kg/day × 60 kg = 120 mg/day

Step 2: Divide by number of doses
• Dose per administration = Total daily dose ÷ Number of doses
• 120 mg ÷ 2 = 60 mg per dose

Answer: 60 mg given twice daily (BD)

Why other answers are wrong:
• 30 mg - Would be correct if given QDS (4 times daily)
• 120 mg - This is the total daily dose, not per dose
• 180 mg - Calculation error
• 240 mg - This would be if no division was applied and weight doubled

Key concept: ""Divided doses""
• ""In 2 divided doses"" = BD (twice daily)
• ""In 3 divided doses"" = TDS (three times daily)
• ""In 4 divided doses"" = QDS (four times daily)

Formula: Dose per administration = (mg/kg/day × weight) ÷ number of doses

Exam tip: Read carefully whether the question asks for ""total daily dose"" or ""dose per administration"" - these are commonly confused.",approved
e6f5d308-8b1d-4fbc-91f8-6220c40718e1,Dosage Calculations,Hard,"A 88 kg patient with an eGFR of 45 mL/min/1.73m² is prescribed vancomycin at 15 mg/kg every 12 hours. The BNF recommends a maximum single dose of 2000 mg and the following renal dose adjustments: eGFR 30-60 mL/min/1.73m²: reduce to 75% of normal dose. Vancomycin injection is available as 50 mg/mL in 10 mL vials. The dose is diluted to 500 mL and infused over 60 minutes. If the adjusted dose is diluted to 500 mL and infused over 60 minutes, what is the infusion rate in mL/hour?",750 mL/hour,1000 mL/hour,500 mL/hour,450 mL/hour,333.5 mL/hour,C,"Calculation:
• Dose = Weight × Dose per kg
• Dose = 2.8 kg × 2.5 mg/kg = 7 mg per dose

Why other answers are wrong:
• 4.2 mg - Would be 1.5 mg/kg (underdose)
• 5 mg - Calculation error or rounding down incorrectly
• 10 mg - Would be ~3.6 mg/kg (overdose)
• 14 mg - Would be 5 mg/kg (significant overdose)

CRITICAL: Aminoglycoside Safety for Neonates

Monitoring requirements:
• Pre-dose (trough) level: Check before 3rd dose
• Target trough: <1 mg/L (ideally <0.5 mg/L)
• Peak levels less commonly used in neonates
• Renal function monitoring essential

Toxicity concerns:
• Nephrotoxicity - monitor creatinine, urine output
• Ototoxicity - irreversible hearing loss risk
• Accumulation risk higher in neonates due to immature renal function

Neonatal gentamicin dosing principles:
• Dose interval varies with gestational/postnatal age:
  - Preterm <32 weeks: Often Q24-36H
  - Term neonate: Q8-12H
• Extended-interval dosing increasingly used
• Always check local neonatal formulary

Practical considerations:
• Small volumes require precise measurement
• 7 mg from 40 mg/mL stock = 0.175 mL (very small!)
• May need dilution for accurate measurement
• Use 1 mL syringe for volumes <1 mL

Exam tip: Aminoglycoside calculations in neonates test both dosing accuracy and awareness of monitoring. Remember: narrow therapeutic index + immature renal function = high vigilance.",approved
aabd1e54-8c59-4828-8076-c99ee66f2624,Dosage Calculations,Medium,"A patient is taking capecitabine 1500 mg/m² twice daily. Their body surface area (BSA) is 1.8 m². Due to hand-foot syndrome, the oncologist recommends a 20% dose reduction. What is the new dose per administration?",2160 mg twice daily,2700 mg twice daily,1800 mg twice daily,1500 mg twice daily,1200 mg twice daily,A,"Step 1: Calculate the original dose using BSA
• Dose = 1500 mg/m² × 1.8 m² = 2700 mg per administration

Step 2: Apply the 20% dose reduction
• New dose = Original dose × (1 - 0.20)
• New dose = 2700 mg × 0.80 = 2160 mg twice daily

Alternative calculation:
• 20% of 2700 = 540 mg
• 2700 - 540 = 2160 mg twice daily

Why other answers are wrong:
• 2700 mg - This is the original dose before reduction
• 1800 mg - This would be the dose if BSA was 1.0 m² then reduced
• 1500 mg - This is just the mg/m² value, ignoring BSA
• 1200 mg - Calculated without applying BSA first (1500 × 0.80)

Clinical context for capecitabine:
• Oral prodrug of 5-fluorouracil used in colorectal and breast cancer
• BSA-based dosing is standard for cytotoxic agents
• Hand-foot syndrome (palmar-plantar erythrodysesthesia) is a common dose-limiting toxicity
• Standard dose reductions are typically 25% or 50% per toxicity grade
• Tablets come in 150 mg and 500 mg strengths
• Practical dose: 2160 mg = 4 × 500 mg + 1 × 150 mg (or round to 2000 mg)

Exam tip: For BSA-based calculations, always multiply by BSA first, then apply any adjustments. Common error is to reduce the mg/m² value before multiplying by BSA.",approved
14292bd4-7695-446d-a5c9-2a12f73fddf2,Dosage Calculations,Easy,A patient is prescribed a reduction in their daily dose of methotrexate from 20 mg once weekly to a 10% lower dose due to side effects. What is the new weekly dose?,16 mg,18 mg,20 mg,22 mg,15 mg,B,"Calculation:
• New dose = Original dose × (1 - reduction fraction)
• New dose = 20 mg × (1 - 0.10)
• New dose = 20 mg × 0.90 = 18 mg weekly

Alternative method:
• 10% of 20 mg = 2 mg
• 20 mg - 2 mg = 18 mg weekly

Why other answers are wrong:
• 16 mg - This would be a 20% reduction (20 × 0.80)
• 20 mg - No change from original dose
• 22 mg - This would be a 10% increase, not reduction
• 15 mg - This would be a 25% reduction (20 × 0.75)

CRITICAL SAFETY POINTS FOR METHOTREXATE:
• Methotrexate is a HIGH-RISK medicine on the Never Events list
• Dosing is WEEKLY - never daily (fatal errors have occurred with daily dosing)
• Always confirm the day of the week for administration
• Folic acid 5 mg should be prescribed on non-methotrexate days (typically 6 days/week)
• Requires shared care monitoring: FBC, U&Es, LFTs before and during treatment
• Common reasons for dose reduction:
  - Mucositis/mouth ulcers
  - Raised LFTs (hepatotoxicity)
  - Low WCC or platelets (bone marrow suppression)
  - Nausea/GI side effects
  - Pulmonary symptoms (rare but serious pneumonitis)

Exam tip: Methotrexate questions often test awareness of weekly dosing. If you see ""daily"" methotrexate for RA/psoriasis, flag it as an error.",approved
99f2588e-a917-4fab-9fe3-2f4d9dc9f31b,Dosage Calculations,Medium,A child weighing 20 kg requires an IV dopamine infusion at a dose of 8 micrograms/kg/min for inotropic support. The dopamine is prepared as 400 mg in 250 mL of glucose 5%. Calculate the infusion rate in mL/hour.,3 mL/hour,6 mL/hour,12 mL/hour,24 mL/hour,48 mL/hour,B,"Step 1: Calculate dose required per minute
• Dose = Weight × Dose rate
• 20 kg × 8 mcg/kg/min = 160 mcg/min

Step 2: Convert to mg per hour
• 160 mcg/min × 60 min = 9600 mcg/hour
• 9600 mcg = 9.6 mg/hour

Step 3: Calculate concentration of infusion
• Concentration = Amount ÷ Volume
• 400 mg ÷ 250 mL = 1.6 mg/mL

Step 4: Calculate infusion rate
• Rate = Dose per hour ÷ Concentration
• 9.6 mg/hour ÷ 1.6 mg/mL = 6 mL/hour

Answer: 6 mL/hour

Why other answers are wrong:
• 3 mL/hour - Would deliver 4.8 mg/hr (4 mcg/kg/min)
• 12 mL/hour - Double the required rate
• 24 mL/hour - Would deliver 38.4 mg/hr (dangerously high)
• 48 mL/hour - Would deliver 76.8 mg/hr (extremely dangerous)

Clinical context for dopamine:
• Dose ranges:
  - Low dose (1-5 mcg/kg/min): Renal/mesenteric vasodilation (""renal dose"")
  - Medium dose (5-10 mcg/kg/min): Positive inotrope (β1 effects)
  - High dose (>10 mcg/kg/min): Vasoconstriction (α1 effects)
• This dose (8 mcg/kg/min) targets inotropic support
• Central line preferred for infusions >5 mcg/kg/min
• Extravasation can cause tissue necrosis

IV infusion formula (memorise this):
Rate (mL/hr) = [Dose (mcg/kg/min) × Weight (kg) × 60] ÷ [Concentration (mg/mL) × 1000]

Exam tip: Critical care infusion calculations require careful unit conversion. Always convert mcg to mg (÷1000) and per minute to per hour (×60).",approved
7505d31c-ab7b-44e8-8367-e7ce71a388cc,Dosage Calculations,Hard,A 67 kg patient with an eGFR of 40 mL/min/1.73m² is prescribed vancomycin at 15 mg/kg every 12 hours. The BNF recommends a maximum single dose of 2000 mg and the following renal dose adjustments: eGFR 30-60 mL/min/1.73m²: reduce to 75% of normal dose. Vancomycin injection is available as 50 mg/mL in 10 mL vials. What volume of vancomycin injection (50 mg/mL) should be drawn up?,5.02 mL,45.24 mL,60.32 mL,15.08 mL,1.51 mL,D,"Calculation:
• Dose per administration = Weight × Dose per kg
• 15 kg × 20 mg/kg = 300 mg per dose

Given TDS (three times daily), total daily dose = 300 × 3 = 900 mg/day

Why other answers are wrong:
• 400 mg - Calculation error (would require ~27 mg/kg)
• 600 mg - Double the correct dose
• 900 mg - This is the total daily dose, not per dose
• 1200 mg - Would exceed safe limits

Clinical context for paediatric amoxicillin:
• Standard dose for acute otitis media: 40-90 mg/kg/day in divided doses
• This question uses 20 mg/kg TDS = 60 mg/kg/day (moderate dose)
• High-dose regimen (for resistant organisms): 80-90 mg/kg/day
• Maximum single dose: typically 500 mg-1 g depending on age
• Available formulations:
  - Suspension: 125 mg/5 mL or 250 mg/5 mL
  - For 300 mg dose: 6 mL of 250 mg/5 mL suspension

Practical dispensing:
• 300 mg TDS × 7 days = 6300 mg total
• Using 250 mg/5 mL: need 126 mL (dispense 150 mL bottle)

Exam tip: Paediatric calculations almost always require weight-based dosing. Always verify the calculated dose is within safe limits for age.",approved
d3070d9b-7291-4b2c-8825-e5acb4f62e16,Dosage Calculations,Hard,"A 78 kg patient is receiving TPN containing 10% glucose (500 mL) and 10% amino acids (250 mL), infused over 12 hours. The maximum recommended glucose delivery is 5 g/kg/day. Calculate the glucose delivery rate in g/kg/day and determine if it is within limits.",0.64 g/kg/day,0.7 g/kg/day,0.43 g/kg/day,0.32 g/kg/day,2.56 g/kg/day,A,"Formula: Volume = Dose required ÷ Concentration

Calculation:
• Volume = 400 mg ÷ 50 mg/mL = 8 mL

Alternative approach (""What you want ÷ What you've got""):
• What you want: 400 mg
• What you've got: 50 mg per mL
• 400 ÷ 50 = 8 mL

Why other answers are wrong:
• 4 mL - Would only give 200 mg (4 × 50)
• 10 mL - Would give 500 mg (10 × 50)
• 12 mL - Would give 600 mg (12 × 50)
• 20 mL - Would give 1000 mg (20 × 50)

Verification: 8 mL × 50 mg/mL = 400 mg ✓

Clinical considerations:
• For volumes >5 mL IM injection, consider splitting between two sites
• Select appropriate syringe size (10 mL syringe for 8 mL draw)
• Check maximum volume for intended route:
  - IM deltoid: 1-2 mL max
  - IM gluteal: 5 mL max (some sources say up to 4 mL)
  - SC: typically 1-2 mL max
• Always verify drug concentration on the vial/ampoule label

Exam tip: This basic formula (V = D ÷ C) underpins most dosing calculations. Master it and always verify by multiplying your answer back.",approved
e9819739-e3c0-4000-aeed-47a9cd354626,Dosage Calculations,Hard,"A 88 kg patient with an eGFR of 20 mL/min/1.73m² is prescribed fluconazole at 6 mg/kg once daily. The BNF recommends a maximum single dose of 400 mg and the following renal dose adjustments: eGFR 0-29 mL/min/1.73m²: reduce to 50% of normal dose. Fluconazole injection is available as 2 mg/mL in 100 mL vials. The dose is diluted to 250 mL and infused over 90 minutes. If the adjusted dose is diluted to 250 mL and infused over 90 minutes, what is the infusion rate in mL/hour?",333.4 mL/hour,166.7 mL/hour,41.67 mL/hour,250.1 mL/hour,500.1 mL/hour,B,"Step 1: Calculate the dose required per hour
• Dose rate × Patient weight
• 0.5 mg/kg/hr × 50 kg = 25 mg/hr

Step 2: Convert mg/hr to mL/hr using concentration
• Dose per hour ÷ Concentration
• 25 mg/hr ÷ 2 mg/mL = 12.5 mL/hr

Formula:
Rate (mL/hr) = [Dose (mg/kg/hr) × Weight (kg)] ÷ Concentration (mg/mL)

Why other answers are wrong:
• 25 mL/hr - This is the mg/hr value, not converted to volume
• 6.25 mL/hr - Incorrectly divided by 4 instead of 2
• 0.25 mL/hr - Calculation error
• 0.5 mL/hr - Used the dose rate without weight calculation

Clinical considerations:
• Always double-check units at each step
• Verify the concentration matches what's available in your formulary
• Consider if an infusion pump is required for this rate
• Document the rate clearly on the infusion label

Exam tip: IV rate calculations always follow ""dose needed ÷ concentration = volume"". State units throughout to catch errors.",approved
d897dd5d-d43f-427f-b445-bae5bc03f417,Dosage Calculations,Easy,A patient weighing 120 kg is prescribed enoxaparin for treatment of deep vein thrombosis at a dose of 1.5 mg/kg once daily. The local protocol caps the maximum dose at 150 mg. What dose should this patient receive?,120 mg,150 mg,180 mg,200 mg,225 mg,C,"Step 1: Calculate weight-based dose
• Calculated dose = Weight × Dose per kg
• 120 kg × 1.5 mg/kg = 180 mg

Step 2: Apply the dose cap
• Calculated dose (180 mg) exceeds the cap (150 mg)
• Therefore, patient receives the CAPPED dose: 150 mg

Answer: 150 mg once daily

Why other answers are wrong:
• 120 mg - This would be 1 mg/kg, not 1.5 mg/kg
• 180 mg - This is the calculated dose but exceeds the cap
• 200 mg - Calculation error
• 225 mg - Would be 1.875 mg/kg

Clinical context for enoxaparin dose capping:
• Obese patients may have unpredictable pharmacokinetics
• Dose caps prevent excessive anticoagulation and bleeding risk
• Anti-Xa monitoring may be recommended in:
  - Morbid obesity (BMI >40)
  - Renal impairment
  - Pregnancy
  - Extremes of weight

When to apply dose caps:
• Treatment doses (DVT/PE): Often capped at 150 mg
• Prophylaxis doses: Different protocols apply
• Always check local guidelines - caps vary between trusts

Practical points:
• 150 mg = 1.5 mL of 100 mg/mL prefilled syringe
• Document weight, calculated dose, and that cap was applied
• Consider anti-Xa monitoring if dose is capped

Exam tip: Dose cap questions test whether you blindly calculate or apply clinical limits. Always compare calculated dose to any stated maximum.",approved
d5b9e207-31d1-4dbb-9d74-8ca67c22608c,Dosage Calculations,Hard,A 55 kg patient with an eGFR of 50 mL/min/1.73m² is prescribed gentamicin at 5 mg/kg once daily. The BNF recommends a maximum single dose of 500 mg and the following renal dose adjustments: eGFR 30-60 mL/min/1.73m²: reduce to 60% of normal dose. Gentamicin injection is available as 40 mg/mL in 2 mL vials. What volume of gentamicin injection (40 mg/mL) should be drawn up?,16.48 mL,12.36 mL,0.41 mL,2.75 mL,4.12 mL,E,"Calculation:
• Dose per administration: 10 mg/kg × 30 kg = 300 mg
• Total daily dose: 300 mg × 4 doses = 1200 mg/day

Step-by-step:
1. Calculate single dose: weight × dose per kg = 30 × 10 = 300 mg
2. Multiply by frequency: 300 mg × 4 (QDS) = 1200 mg

Clinical context:
• Maximum paediatric ibuprofen dose is 40 mg/kg/day (max 2400 mg/day)
• This dose (1200 mg/day) is within safe limits for a 30 kg child
• Children under 3 months should not receive ibuprofen
• Limit duration: 3 days for fever, 3 days for pain without medical advice
• Give with or after food to reduce GI irritation

Exam tip: For ""total daily dose"" questions, always multiply single dose × frequency. Watch for trick questions where frequency isn't clearly stated.",approved
